date,ticker,price,prev_close,daily_return,volume,trades,traded_value,source,raw
2026-06-19,UZNIF,,,,,,,,
2026-06-19,HMKB,5.0,,,17998176.0,,,https://uzse.uz/asking_prices?locale=en; https://uzse.uz/isu_infos/STK?locale=en,Market: STK | BRD ID: G1 | ISU CD: UZ7011340005 HMKB | Isu Name: <Hamkorbank> ATB | Тип ценной бумаги: Простые акции | Best Sell Price: UZS 68.49 | Total Sell Quantity: 562443 | Best Buy Price: UZS 67.9 | Total Buy Quantity: 3164294
2026-06-19,HMKBP,,,,,,,,
2026-06-19,SQBN,,,,,,,,
2026-06-19,IPTB,,,,,,,,
2026-06-19,AGBK,,,,,,,,
2026-06-19,GRBN,,,,,,,,
2026-06-19,ALBX,,,,,,,,
2026-06-19,NBU,,,,,,,,
2026-06-19,MKBK,,,,,,,,
2026-06-19,TRSB,,,,,,,,
2026-06-19,TNSB,,,,,,,,
2026-06-19,KBLN,,,,,,,,
2026-06-19,UZTL,,,,,,,,
2026-06-19,UZTLP,,,,,,,,
2026-06-19,UZMT,,,,,,,,
2026-06-19,UZMTP,,,,,,,,
2026-06-19,UZAM,,,,,,,,
2026-06-19,QZSM,1250.0,,,676974.0,,,https://uzse.uz/asking_prices?locale=en,"Market: STK | BRD ID: G1 | ISU CD: UZ7029000005 QZSM | Isu Name: <Qizilqumsement> AJ | Тип ценной бумаги: Простые акции | Best Sell Price: UZS 1,250 | Total Sell Quantity: 39822 | Best Buy Price: UZS 1,202.5 | Total Buy Quantity: 25923"
2026-06-19,KVTS,,,,,,,,
2026-06-19,URTS,,,,,,,,
2026-06-19,UTG,,,,,,,,
2026-06-19,UZINV,,,,,,,,
2026-06-19,KPSG,,,,,,,,
2026-06-19,UZGE,,,,,,,,
2026-06-19,BKMY,,,,,,,,
2026-06-19,FARG,,,,,,,,
2026-06-19,NAVO,,,,,,,,
2026-06-19,DORI,,,,,,,,
2026-06-19,CHB,,,,,,,,
